Restaurant Name,Address,Approximate Rating,Number of Ratings,Source URL
Sumo Japanese Restaurant,"355 State St, Los Altos",4.3,334,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJLYsmK-6wj4AR5mtsIe0ZzLk
Yoshi Sushi,"250 3rd St, Los Altos",4.4,197,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJPcGlQeqxj4AR9FkT7-9ijKA
Sushi Arashi,"240 Castro St, Mountain View",4.4,153,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJLalQbCu3j4ARhYSFis6AvSA
Hanamaru,"675 S Bernardo Ave, Sunnyvale",4.2,398,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ2_drFum2j4ARdQ3ok0PiRrw
Okayama Express,"2587 N First St, San Jose",4.2,489,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJH99Kft_Lj4AR1_PVxCDMt3M
Harumi Sushi,"19754 Stevens Creek Blvd, Cupertino",4.2,434,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ_wU1FKG1j4AR82hmMCTHwvw
Kakuna Sushi,"75 S Abbott Ave, Milpitas",4.4,151,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJEbdIzPPJj4ARyzRrLDiMw6s
YAYOI Palo Alto,"403 University Ave, Palo Alto",4.2,1139,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJpTk-VTi7j4ARpZhH_XR68_I
Yayoi Cupertino,"20682 Homestead Rd, Cupertino",4.2,814,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ0Yswecm1j4ARNMQsiaowIRE
Sushi O Sushi Japanese Cuisine,"2789 El Camino Real, Santa Clara",4.3,705,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJj5rFQBPKj4AR1IU4bKscQCs
Kura Revolving Sushi Bar,"19600 Vallco Pkwy #160, Cupertino",4.2,2398,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ6bWI2J61j4ARY5IwPV9HXP0
V Sushi,"74 Ranch Dr, Milpitas",3.9,351,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ3WUYeN_Ij4ARWhem3GludXI
KoKoLo Donburi - Milpitas,"179 Ranch Dr, Milpitas",4.3,182,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJdyR3gV_Jj4ARD7Q4zFH3X_Q
Onigilly Japanese Kitchen - Palo Alto,"164 University Ave, Palo Alto",4.2,369,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJz1CaiuS7j4ARJ0FvNTILUoo
Akita Sushi Gourmet Inc,"2251 The Alameda, Santa Clara",3.5,166,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJMZjFUX7Jj4AR9BHkREjuptY
